POA_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
POA3584,108,70,72,73,51,48,32,68,8,539
POA3585,770,924,740,690,603,521,268,796,102,5406
POA3586,87,51,70,45,54,37,23,60,3,431
POA3588,22,16,19,24,14,16,18,42,0,176
POA3589,53,24,15,12,17,8,10,53,4,188
POA3590,23,19,28,16,18,5,15,31,6,163
POA3591,23,12,3,14,11,4,5,12,3,90
POA3594,23,25,35,24,25,19,25,76,4,254
POA3595,30,20,27,24,13,15,28,49,3,217
POA3596,11,5,3,0,4,0,6,10,0,48
POA3597,89,16,20,13,20,5,9,94,6,268
POA3599,22,0,14,0,6,3,3,21,0,64
POA3607,19,4,13,11,6,11,4,18,0,79
POA3608,233,151,183,144,122,68,78,194,31,1207
POA3610,127,88,90,76,64,44,44,70,26,633
POA3612,91,81,72,70,72,49,63,121,19,639
POA3614,90,90,91,47,49,29,32,59,6,491
POA3616,431,396,354,285,284,205,180,387,48,2561
POA3617,28,7,10,8,9,4,5,4,3,79
POA3618,59,21,45,30,26,16,31,53,10,290
POA3620,505,538,575,428,368,303,274,581,84,3653
POA3621,192,116,170,125,97,106,94,203,22,1128
POA3622,85,35,30,19,22,18,24,31,10,267
POA3623,94,42,51,37,43,15,29,81,4,403
POA3624,64,12,39,20,11,15,26,39,4,225
POA3629,468,536,535,498,385,355,348,673,90,3893
POA3630,1459,2513,1677,1657,1424,1263,861,2135,271,13262
POA3631,1240,1387,1053,788,934,653,380,750,113,7304
POA3633,58,61,54,35,35,30,17,34,3,336
POA3634,200,159,141,89,100,70,76,102,19,953
POA3635,56,30,48,17,29,22,29,47,7,278
POA3636,353,330,314,276,235,155,164,337,56,2216
POA3637,105,31,31,26,18,20,24,42,6,300
POA3638,189,132,134,118,104,81,71,147,29,1001
POA3639,74,30,24,20,15,13,14,33,9,223
POA3640,138,44,62,50,29,31,48,103,14,515
POA3641,102,50,81,60,50,51,51,123,8,563
POA3644,637,423,526,431,394,323,309,807,71,3917
POA3646,83,57,29,15,29,15,21,23,8,288
POA3647,0,7,0,4,0,5,0,3,0,24
POA3649,62,21,15,26,17,24,14,42,3,222
POA3658,333,406,532,325,327,221,315,391,76,2915
POA3659,58,71,69,45,47,17,35,36,7,381
POA3660,445,416,495,480,355,300,222,562,61,3328
POA3662,131,88,24,282,53,18,75,21,11,687
POA3663,29,14,7,12,6,4,11,11,0,93
POA3664,113,84,98,63,62,26,28,82,12,563
POA3665,46,34,23,17,24,7,6,26,4,190
POA3666,472,338,321,207,201,163,128,304,47,2172
POA3669,165,86,79,61,48,29,29,72,14,586
POA3670,68,36,60,23,26,21,20,38,0,297
POA3672,505,731,668,625,479,371,336,625,101,4437
POA3673,230,139,133,83,69,57,74,116,23,918
POA3675,197,183,161,104,111,67,59,104,14,1004
POA3677,877,1617,1193,1278,902,846,601,1106,145,8563
POA3678,743,633,470,365,346,244,193,377,53,3419
POA3682,92,30,48,33,37,27,30,50,0,349
POA3683,106,128,145,97,85,75,79,86,17,816
POA3685,250,227,179,149,145,81,99,213,26,1374
POA3687,62,60,93,43,37,43,36,78,12,473
POA3688,120,92,110,95,87,61,69,76,11,719
POA3690,1682,2750,2446,2318,1923,1579,1316,1977,286,16278
POA3691,1113,1285,1184,912,754,444,434,502,123,6750
POA3695,74,44,32,23,27,21,19,29,7,279
POA3697,47,41,47,32,21,21,9,29,5,263
POA3698,95,97,71,53,48,32,21,42,3,468
POA3699,101,81,95,104,33,43,27,95,10,584
POA3700,96,79,102,67,66,37,52,90,21,605
POA3701,187,49,43,56,42,21,33,70,10,512
POA3704,7,5,0,0,0,0,0,4,0,16
POA3705,47,13,14,13,11,9,9,20,6,128
POA3707,225,103,93,89,77,49,57,118,20,833
POA3708,7,4,5,3,8,0,0,6,0,36
POA3709,59,7,12,11,12,0,8,18,0,138
POA3711,50,44,53,27,21,19,18,36,0,268
POA3712,37,16,36,13,13,10,8,21,6,164
POA3713,74,40,67,56,31,34,24,57,13,390
POA3714,273,242,259,199,196,106,114,195,29,1624
POA3715,39,20,31,20,17,9,7,20,7,176
POA3717,284,222,268,159,141,97,106,179,23,1477
POA3718,24,5,0,3,0,3,3,12,0,49
