POA_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
POA3490,4,0,0,0,0,5,0,0,0,21,0,0,3,0,3,7,0,3,4,27,28,66,50,56,60,123,24,126,15,550
POA3491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,8,6,5,7,3,22,0,57
POA3494,0,0,0,0,5,0,0,0,0,8,0,0,0,0,5,0,0,0,6,18,4,23,28,25,69,66,17,59,18,314
POA3496,8,15,16,16,18,32,9,10,0,131,9,18,12,9,20,28,3,13,31,149,130,369,332,258,578,559,160,384,83,2847
POA3498,8,16,21,12,34,24,6,13,0,133,7,26,16,3,28,21,6,11,38,170,136,409,321,220,617,617,151,374,90,2928
POA3500,31,78,49,36,128,102,16,45,8,498,37,68,59,44,114,96,28,42,193,688,705,1983,1682,1275,3562,2835,790,1578,391,14809
POA3501,8,5,5,4,6,6,0,11,0,38,3,7,7,0,9,7,5,4,6,51,65,135,109,85,205,216,59,200,31,1104
POA3505,3,16,13,0,29,22,10,10,3,99,5,4,10,7,20,13,0,11,39,112,122,306,242,180,433,432,113,263,69,2170
POA3506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,17
POA3507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,7,3,0,4,3,0,51
POA3509,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,12,12,14,11,20,8,21,0,104
POA3512,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,11,11,28,18,14,24,23,17,52,0,178
POA3515,6,4,4,0,15,17,0,0,0,53,0,13,8,0,7,7,3,4,3,54,76,160,164,95,268,290,80,140,25,1299
POA3516,0,7,4,0,0,0,0,0,0,13,0,0,6,0,0,4,0,4,4,16,15,59,46,18,55,76,20,64,22,371
POA3517,0,0,0,0,0,0,0,4,0,14,0,0,4,0,6,4,0,5,15,43,31,66,73,59,85,82,20,100,26,538
POA3518,0,5,0,0,3,0,0,0,0,5,0,5,0,0,4,3,0,0,6,19,31,83,41,34,61,77,14,104,14,456
POA3520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,3,0,0,4,5,0,30
POA3521,0,0,0,0,3,4,0,0,0,7,4,0,0,0,0,0,0,3,8,20,28,45,51,20,69,91,22,45,9,377
POA3522,0,0,0,0,0,6,0,0,0,7,6,0,0,0,0,0,0,3,3,9,11,21,17,17,16,33,9,32,6,157
POA3523,3,12,5,0,9,15,6,10,0,54,5,14,5,3,7,6,0,11,18,75,80,228,193,120,229,256,82,178,36,1410
POA3525,0,0,0,0,0,3,0,3,0,12,3,0,0,0,7,10,0,0,0,21,17,104,67,30,68,91,39,126,5,558
POA3527,0,0,0,0,0,4,0,3,0,12,0,3,0,0,0,0,0,0,3,7,17,47,39,25,37,57,12,77,9,311
POA3529,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,3,3,0,15,4,19,0,60
POA3530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,5,6,10,3,16,0,59
POA3531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,10,13,9,8,20,3,17,0,80
POA3533,0,0,0,0,0,0,0,0,0,8,0,4,3,0,0,0,0,0,7,13,8,46,37,21,41,55,12,64,8,302
POA3537,0,4,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,3,16,27,69,43,41,48,70,23,83,10,412
POA3540,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,4,9,14,7,6,18,3,25,3,100
POA3542,0,0,0,0,4,0,0,0,0,5,0,0,0,0,6,0,0,0,0,9,0,3,0,5,10,10,3,17,0,60
POA3544,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,5,5,19,11,4,11,25,7,35,0,114
POA3546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,10,22,15,10,16,32,12,49,5,171
POA3549,0,4,4,9,3,5,5,8,0,36,9,21,10,10,36,24,7,9,48,173,60,232,136,119,409,282,107,235,89,1670
POA3550,36,143,92,41,137,113,26,71,7,662,25,76,53,34,104,92,14,65,120,586,1078,3157,2449,1835,4139,3502,1008,2039,256,19460
POA3551,37,118,80,46,119,142,32,86,4,665,15,70,46,32,81,110,22,72,115,574,1033,2686,2132,1563,3454,3494,1035,2187,248,17829
POA3555,21,57,45,35,76,75,11,32,0,364,15,44,26,14,84,65,12,30,49,352,476,1387,1100,869,2099,1714,488,839,129,9108
POA3556,18,44,34,13,60,49,16,14,0,246,21,30,26,18,50,58,11,19,62,290,379,915,735,557,1377,1123,315,568,127,6108
POA3557,3,0,3,0,5,0,0,5,0,17,0,0,0,0,0,0,0,0,4,7,17,66,52,30,70,75,28,72,8,426
POA3558,0,4,3,0,0,9,0,6,0,24,0,4,0,4,4,0,0,4,4,20,23,61,31,30,64,68,18,71,14,365
POA3559,0,0,0,0,4,0,0,4,0,3,0,0,0,0,0,3,4,0,4,9,13,44,26,17,29,47,14,76,6,262
POA3561,4,20,8,3,10,29,8,8,0,94,11,7,0,0,11,6,5,8,22,83,107,299,212,151,271,333,111,395,54,1933
POA3562,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,4,7,16,14,12,15,34,4,23,0,126
POA3563,0,0,0,0,3,0,5,4,0,9,0,0,0,0,4,4,0,3,3,17,24,62,44,23,38,52,27,88,17,369
POA3564,16,70,52,25,61,66,18,33,5,350,16,41,25,11,46,48,11,29,56,280,491,1157,996,690,1560,1516,437,942,148,7929
POA3565,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,6,11,5,0,7,14,5,14,0,63
POA3566,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,6,7,8,7,36,37,22,32,47,11,55,17,270
POA3567,0,0,3,4,0,0,0,3,0,11,0,0,0,0,0,7,0,0,3,17,11,39,38,27,48,65,25,79,7,327
POA3568,0,4,3,4,9,13,4,7,0,37,8,4,0,7,7,14,0,9,15,72,55,169,141,105,206,235,76,227,27,1242
POA3570,4,0,0,0,4,7,5,3,0,13,0,0,5,0,4,4,0,5,9,23,24,53,44,22,59,69,7,60,13,353
POA3571,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,13,17,19,0,20,28,11,40,3,158
POA3572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,10,10,4,0,14,10,21,10,71
POA3573,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,5,0,7,7,21,24,6,21,28,10,45,5,167
POA3575,0,3,3,0,5,0,0,0,0,9,0,0,0,3,0,0,0,0,10,18,7,48,44,32,40,47,26,99,17,375
POA3576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,5,0,0,0,13,0,7,0,34
POA3579,5,16,7,10,17,17,6,15,0,83,3,11,5,4,25,24,3,13,21,108,100,307,266,173,342,428,151,376,52,2195
