POA_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
POA3220,324,38,362,2752,953,82,3789,10007,702,14502
POA3221,12,0,12,143,44,4,183,426,30,644
POA3222,425,99,522,2883,1136,134,4157,10528,684,15363
POA3223,226,89,314,895,639,44,1580,6259,696,8532
POA3224,300,140,439,2453,862,90,3402,8394,679,12481
POA3225,276,15,298,632,463,15,1101,3367,322,4787
POA3226,376,48,424,3321,1154,88,4562,8934,673,14168
POA3227,94,13,112,986,373,24,1380,2735,300,4409
POA3228,343,80,420,5103,1327,146,6581,11325,967,18874
POA3230,96,12,102,435,230,14,676,1905,165,2751
POA3231,31,0,33,191,108,15,310,982,106,1402
POA3232,38,14,56,152,101,9,253,818,120,1195
POA3233,50,16,69,288,127,6,417,1436,208,2068
POA3234,0,0,0,38,12,0,48,134,13,202
POA3235,6,0,6,90,31,0,116,242,62,425
POA3236,4,0,4,25,16,0,38,156,27,222
POA3237,0,0,0,27,13,0,49,154,48,250
POA3238,0,0,4,37,17,0,51,141,20,210
POA3239,0,0,0,58,22,3,85,275,55,420
POA3240,15,6,20,438,134,15,587,1053,68,1703
POA3241,46,33,77,454,145,19,611,1698,243,2555
POA3242,5,0,5,165,44,4,208,505,44,758
POA3243,6,0,6,55,19,0,70,230,41,338
POA3249,36,10,44,506,201,20,726,1828,184,2743
POA3250,435,58,502,1798,751,84,2635,7347,595,10580
POA3251,14,0,11,76,33,5,112,311,25,453
POA3254,0,0,0,54,22,7,82,155,35,269
POA3260,132,19,148,629,244,14,884,2810,330,4029
POA3264,83,17,105,282,154,19,456,1330,120,1905
POA3265,25,8,40,479,152,16,639,1410,201,2252
POA3266,98,7,111,418,189,14,624,1709,189,2518
POA3267,4,0,4,32,9,0,35,130,15,181
POA3268,55,13,66,386,139,7,535,1428,166,2128
POA3269,11,5,14,111,48,4,159,345,44,549
POA3270,6,0,6,47,28,0,69,183,15,264
POA3271,0,0,3,20,11,0,30,109,26,159
POA3272,52,11,64,217,87,10,316,915,114,1341
POA3273,0,0,0,19,14,0,29,81,9,117
POA3274,6,0,3,35,19,4,58,129,14,203
POA3275,0,3,3,80,19,0,95,259,23,380
POA3276,4,0,4,64,24,3,93,250,25,363
POA3277,21,3,26,310,117,8,441,918,108,1461
POA3278,4,0,7,67,26,0,96,158,17,276
POA3279,0,0,0,62,11,4,73,144,23,234
POA3280,878,166,1049,5179,1983,204,7369,18436,1740,27543
POA3281,14,0,14,373,110,15,500,885,55,1434
POA3282,37,7,43,433,178,19,634,1221,137,1995
POA3283,8,0,6,214,96,5,316,762,82,1159
