POA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
POA3498,24,118,32,49,4,244,24,30,106,62,77,6,296,0,4,7,0,7,0,14,0,0,0,10,76,0,92,0,0,8,12,49,19,88,50,78,413,275,908,68,1783
POA3500,159,487,147,204,16,1118,222,146,683,428,604,60,2138,4,6,24,21,40,0,94,6,3,26,70,247,10,361,8,5,43,43,140,71,312,558,439,2209,1651,4031,393,9286
POA3501,11,43,18,23,0,106,10,9,35,18,25,0,100,0,0,0,4,3,0,15,0,0,4,4,23,0,31,0,0,3,0,15,4,29,35,35,172,124,332,37,723
POA3505,23,57,28,32,0,154,10,16,54,50,96,10,230,0,0,0,0,7,0,10,0,0,9,10,54,9,74,0,0,6,3,23,13,44,31,50,211,219,727,91,1317
POA3506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,7
POA3507,0,0,0,3,0,6,0,0,8,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,13,3,32
POA3509,0,6,0,3,0,11,0,0,7,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,3,0,13,4,28,4,53
POA3512,0,10,0,0,0,16,0,0,5,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,9,0,18,14,45,5,94
POA3515,17,38,9,16,0,89,10,16,48,43,55,9,175,0,0,0,6,5,0,9,0,0,4,5,32,0,45,0,0,0,6,11,7,23,24,40,172,160,434,25,857
POA3516,0,10,5,6,0,17,5,4,10,9,12,0,34,0,0,0,0,0,0,0,0,0,0,3,5,0,12,0,0,0,3,4,3,7,6,13,38,42,108,9,216
POA3517,3,15,7,8,0,33,0,0,18,15,19,0,48,0,0,0,0,0,0,5,0,0,0,3,14,0,14,0,0,0,8,8,9,26,9,10,56,60,181,12,325
POA3518,4,7,0,3,0,19,0,0,6,11,11,3,36,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,3,4,12,50,45,136,20,262
POA3520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11
POA3521,0,6,7,8,0,19,0,5,3,4,7,0,23,0,0,0,0,5,0,6,0,0,0,0,4,0,3,0,0,0,0,3,3,11,8,7,33,37,147,13,246
POA3522,0,3,0,0,0,11,3,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,3,0,8,4,0,23,17,40,10,96
POA3523,15,20,8,9,0,63,6,10,34,42,59,7,159,3,0,8,3,12,0,15,4,0,0,9,35,0,42,0,0,4,7,13,14,35,58,43,152,169,443,47,911
POA3525,4,29,3,8,0,56,0,0,19,11,13,0,43,0,0,0,5,0,0,9,0,0,0,0,7,0,9,0,0,0,0,5,4,11,12,9,77,57,159,23,335
POA3527,6,11,0,5,0,22,0,4,0,6,9,3,29,0,0,0,0,0,0,6,0,0,0,0,5,0,5,0,0,0,0,0,0,5,10,13,32,24,88,10,178
POA3529,0,0,0,0,0,3,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,9,8,16,0,34
POA3530,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,21,3,39
POA3531,0,6,0,0,0,11,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,9,26,0,53
POA3533,5,13,0,0,0,25,0,0,13,3,3,0,25,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,4,5,7,41,21,101,3,168
POA3537,4,10,6,3,0,33,4,0,25,4,20,0,61,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,5,5,6,12,10,76,34,122,12,269
POA3540,0,3,0,0,0,3,0,0,0,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,17,0,37
