POA_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
POA3412,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,4,5,0,15
POA3413,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3
POA3414,0,0,0,0,0,0,0,0,3,16,16,3,28,0,6,3,34,30,0,66
POA3415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3418,0,0,0,0,0,0,0,0,0,15,28,3,42,0,0,0,47,33,0,81
POA3419,0,0,0,0,0,0,0,0,0,3,12,0,14,0,3,4,23,7,0,33
POA3420,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,6
POA3423,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,11,0,17
POA3424,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,5,9,0,19
POA3427,0,0,0,0,0,0,0,0,0,90,55,11,151,5,3,8,159,72,4,231
POA3428,0,0,0,0,0,0,0,0,0,7,9,0,13,0,0,0,11,9,0,22
POA3429,4,7,0,0,0,7,10,8,22,674,432,88,1197,28,26,56,1254,596,19,1866
POA3430,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,7,6,0,16
POA3431,0,0,0,0,0,0,0,3,3,51,47,6,104,0,4,4,112,42,3,151
POA3432,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,6
POA3433,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,3,0,0,11
POA3434,0,0,0,0,0,0,0,0,0,60,49,10,114,3,8,10,125,88,0,212
POA3435,0,4,0,0,0,4,0,0,4,44,28,3,76,0,0,0,77,50,3,128
POA3437,0,0,0,0,0,0,0,6,4,146,112,15,268,0,7,8,277,76,10,368
POA3438,0,0,0,0,0,0,0,0,0,26,25,0,54,0,0,0,57,16,6,71
POA3440,0,0,0,0,0,0,0,0,0,14,15,5,38,0,0,0,42,18,0,60
POA3441,0,0,0,0,0,0,0,0,0,6,8,0,10,0,0,0,10,16,0,26
POA3442,0,0,0,0,0,0,0,4,5,112,92,9,216,3,3,10,220,110,7,335
POA3444,0,3,0,0,0,3,3,3,8,108,78,20,204,7,4,12,220,128,5,347
POA3446,0,0,0,0,0,0,0,0,0,8,7,0,14,0,0,0,18,12,0,30
POA3447,0,0,0,0,0,0,0,0,0,3,3,0,12,0,0,0,12,8,0,25
POA3448,0,0,0,0,0,0,0,0,0,8,6,0,19,0,0,0,16,13,0,32
POA3450,0,0,0,0,0,0,6,0,3,97,115,15,228,0,0,8,235,133,7,373
POA3451,0,0,0,0,0,0,0,0,0,54,95,11,162,0,4,0,167,82,0,251
POA3453,0,0,0,0,0,0,0,0,0,14,19,0,38,0,0,0,40,25,0,65
POA3458,0,0,0,0,0,0,0,0,0,12,24,3,40,4,0,5,43,25,4,69
POA3460,0,0,0,0,0,0,0,4,0,28,40,0,69,0,3,3,73,57,3,134
