POA_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA3638,184,150,63,24,974
POA3639,57,42,17,0,213
POA3640,68,53,14,0,469
POA3641,87,59,26,9,533
POA3644,629,598,317,113,3911
POA3646,62,50,18,4,303
POA3647,0,0,0,0,25
POA3649,49,32,9,0,226
POA3658,501,320,131,36,2882
POA3659,93,65,24,4,418
POA3660,700,515,258,86,3634
POA3662,9,0,0,0,470
POA3663,25,19,9,0,100
POA3664,111,103,48,12,587
POA3665,42,44,13,0,198
POA3666,511,560,247,78,2622
POA3669,185,190,81,40,834
POA3670,73,63,11,0,289
POA3672,967,885,556,210,5333
POA3673,257,180,70,7,996
POA3675,224,189,59,10,1070
POA3677,1402,1184,740,328,9189
POA3678,753,564,188,43,3464
POA3682,55,36,14,3,312
POA3683,193,143,81,10,911
POA3685,308,244,108,34,1467
POA3687,79,92,28,14,491
POA3688,151,90,29,4,684
POA3690,2537,1988,891,239,16690
POA3691,1032,696,280,84,6542
POA3695,53,51,6,0,256
POA3697,89,57,17,3,315
POA3698,120,129,67,17,626
POA3699,97,104,42,12,737
POA3700,142,101,56,44,703
POA3701,144,113,47,3,580
POA3704,7,4,0,0,18
POA3705,37,23,5,4,147
POA3707,183,140,81,35,900
POA3708,14,3,0,0,39
POA3709,46,60,15,4,172
POA3711,79,73,22,15,349
POA3712,45,33,15,0,174
POA3713,122,87,52,30,524
POA3714,355,370,163,63,1885
POA3715,51,55,14,0,216
POA3717,417,370,188,34,1915
POA3718,15,18,8,0,57
POA3719,60,46,22,6,221
POA3720,74,76,25,0,354
POA3722,571,497,237,92,3023
POA3723,462,383,112,25,2054
POA3725,68,70,19,4,325
POA3726,44,44,15,0,214
POA3727,35,24,19,0,153
POA3728,65,35,16,5,282
POA3730,721,796,466,155,4419
POA3732,59,60,20,3,311
POA3733,32,21,4,3,119
POA3735,79,43,15,5,326
POA3737,398,349,165,74,2141
POA3738,20,15,6,0,106
POA3739,41,27,3,0,139
POA3740,120,83,41,3,630
POA3741,370,307,166,42,2039
POA3744,63,45,21,5,289
POA3746,52,38,16,4,219
POA3747,596,563,213,64,2904
POA3749,291,215,104,24,1216
POA3750,570,329,81,14,11421
POA3751,6,16,8,3,73
POA3752,1362,686,274,105,11640
POA3753,199,108,27,4,2117
POA3754,2041,1299,467,54,23902
POA3755,25,21,9,0,141
POA3756,906,474,175,28,7113
POA3757,781,582,214,90,4749
POA3758,218,133,44,3,1168
POA3759,149,98,32,11,633
POA3760,57,34,6,0,202
POA3761,140,110,47,0,679
POA3762,22,7,3,0,62
POA3763,185,116,25,4,920
POA3764,758,573,297,103,5002
POA3765,554,418,213,128,3595
POA3766,127,95,45,3,751
POA3767,155,122,59,10,754
POA3770,277,187,99,19,1634
POA3775,391,303,145,38,2149
POA3777,1090,786,414,152,5710
POA3778,23,21,6,0,104
