POA_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA3038,3,7,20,33,51,213,565,534,183,1606,0,0,9,17,22,62,109,116,59,407,55,67,156,124,158,118,163,102,30,963,651,1848,3117,2795,3739,4462,3181,1425,449,21675
POA3039,0,3,8,8,13,46,95,236,148,551,4,0,10,5,5,10,21,43,38,130,20,32,111,66,71,85,66,83,40,569,265,1105,3138,2416,2130,1934,1357,752,415,13508
POA3040,4,0,7,13,16,61,124,251,186,663,0,3,14,13,13,20,26,40,36,157,48,86,182,136,109,113,101,76,51,903,578,2014,3835,3598,3951,3393,2330,1189,655,21528
POA3041,0,0,8,13,8,21,78,103,87,325,0,0,8,0,4,8,17,13,14,61,17,19,55,63,64,44,51,39,31,370,326,824,1468,1784,2010,1598,1258,601,304,10173
POA3042,0,0,11,20,28,55,257,380,188,946,0,0,10,9,10,13,29,69,44,182,22,25,78,67,79,81,68,98,66,584,275,863,2291,2470,2304,1886,1605,1101,499,13292
POA3043,0,5,32,40,62,109,295,339,114,1000,0,5,4,17,14,43,64,92,27,265,31,50,148,103,81,78,121,116,38,766,355,952,2572,2457,2192,2028,2057,1356,381,14347
POA3044,0,11,15,36,40,76,251,462,392,1278,0,10,9,8,19,31,45,88,52,268,54,59,203,195,150,118,113,105,115,1100,539,1650,4830,4707,3901,2958,1849,1221,987,22637
POA3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,6,8,3,4,0,0,44,3,6,8,8,12,11,4,0,0,55
POA3046,4,7,42,93,126,223,396,577,434,1906,4,13,46,53,51,89,103,146,79,580,88,199,572,324,263,220,198,218,291,2367,653,2706,7621,5802,3949,3353,2229,1825,1211,29356
POA3047,16,22,108,227,260,348,323,323,121,1752,0,19,53,105,145,189,145,115,40,822,131,186,478,379,266,240,147,128,42,2001,596,1633,3922,2940,2292,2138,1322,887,324,16053
POA3048,16,33,117,207,267,348,388,272,82,1733,3,12,57,81,133,193,154,112,48,795,70,106,238,218,157,157,117,77,19,1155,529,1394,2712,2261,2178,2126,1385,753,213,13549
POA3049,0,4,9,18,36,61,132,130,46,436,0,4,10,12,10,14,26,33,23,130,33,32,63,72,64,52,52,47,39,441,238,607,1330,1265,1333,1368,1004,488,159,7785
POA3051,0,5,17,15,30,45,62,50,28,252,0,12,18,21,18,21,26,14,5,131,59,180,359,212,118,124,99,45,15,1225,381,2061,4280,2347,1467,1108,775,333,118,12880
