POA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA3793,61,33,29,36,47,33,23,13,9,292,711,440,364,465,579,442,416,182,63,3651
POA3795,24,16,14,18,13,22,9,0,0,115,254,146,152,165,185,188,131,82,21,1323
POA3796,113,77,64,67,69,72,42,27,6,533,1962,1201,1304,1326,1305,1231,935,452,76,9799
POA3797,68,47,42,40,70,56,49,25,8,406,675,419,392,405,520,495,489,269,102,3764
POA3799,141,104,72,79,134,83,81,40,13,747,949,627,610,654,937,982,742,328,118,5951
POA3802,337,220,258,230,245,176,172,60,27,1723,4306,2909,3327,3389,2928,3446,2720,1079,361,24455
POA3803,208,140,156,112,139,94,69,28,28,970,2228,1440,1722,1455,1290,1377,995,546,294,11355
POA3804,120,92,60,60,77,72,69,19,11,588,1480,1338,779,875,1307,1281,828,389,189,8466
POA3805,827,673,590,530,520,420,197,98,50,3897,12171,8954,8166,8093,8373,6721,3764,1793,572,58600
POA3806,681,451,361,431,472,332,225,172,95,3226,10657,6870,5510,7771,7609,5620,3829,2447,1003,51308
POA3807,101,72,48,57,80,57,35,28,16,491,1468,1203,729,980,1298,968,587,327,92,7655
POA3808,45,31,15,34,40,44,26,15,3,243,635,416,210,414,483,467,336,142,42,3147
POA3809,308,174,232,196,136,88,56,23,3,1213,4886,2276,4161,3511,2024,1326,1067,364,45,19662
POA3810,1132,517,719,605,462,295,221,177,103,4235,13280,6587,9651,8644,6174,4584,3591,2294,799,55588
POA3812,47,39,22,39,43,40,32,14,9,276,451,322,258,295,398,382,270,80,37,2488
POA3813,22,19,10,13,10,30,13,0,0,116,153,146,111,94,142,176,84,46,15,963
POA3814,53,24,33,23,30,49,30,26,3,264,531,307,302,302,327,353,284,173,36,2604
POA3815,78,42,38,36,48,36,21,22,8,322,786,458,389,446,479,481,339,233,87,3693
POA3816,98,33,36,52,45,48,36,27,10,378,698,315,466,428,359,445,312,156,32,3227
POA3818,326,152,173,168,163,168,140,91,28,1399,3479,1789,2281,1928,1979,2143,2087,1219,415,17313
POA3820,311,172,214,170,194,150,135,110,52,1501,3671,2221,2708,2315,2399,2413,2283,1461,576,20054
POA3821,62,37,34,36,38,41,39,24,5,308,603,335,301,332,427,530,412,166,31,3142
POA3822,13,4,11,15,19,15,7,4,0,88,199,117,99,131,159,147,95,53,11,1001
POA3823,24,19,11,11,13,20,28,7,4,133,366,210,258,211,223,340,325,142,38,2117
POA3824,88,47,40,54,50,45,52,43,44,457,1036,569,567,667,674,672,733,379,150,5438
POA3825,446,243,253,227,278,292,234,132,54,2155,3455,2254,2537,2227,2607,3016,2820,1540,619,21078
POA3831,49,19,16,32,19,31,39,20,9,226,347,208,182,211,229,324,312,149,52,2012
POA3832,0,0,5,6,3,3,0,0,0,13,38,20,19,26,25,46,48,26,0,245
POA3833,7,10,0,9,8,15,6,9,0,63,36,30,22,34,44,78,60,31,6,340
POA3835,11,4,6,5,5,4,7,3,0,51,83,50,50,48,60,82,69,23,10,475
POA3840,469,263,285,277,276,251,193,121,120,2266,3009,1898,2025,1845,2156,2480,2126,1194,497,17225
POA3842,127,116,65,73,47,49,38,23,4,546,938,646,637,561,547,650,610,303,47,4924
POA3844,555,315,348,329,298,336,269,227,174,2855,5746,3533,4209,3908,3686,3994,3432,1907,765,31179
POA3847,73,40,42,40,33,37,44,23,5,324,388,220,289,263,283,343,312,151,24,2278
POA3850,231,178,169,166,182,135,133,71,69,1341,2832,1705,1885,1790,1930,1927,1822,1107,466,15472
POA3851,90,97,383,325,161,124,85,22,3,1299,833,518,718,814,858,1094,996,339,59,6231
POA3852,0,4,3,0,0,0,0,0,0,9,3,117,64,13,4,3,0,0,0,210
POA3854,27,14,11,12,17,19,13,6,0,115,288,175,169,168,209,231,163,67,9,1478
POA3856,34,9,10,16,11,18,22,0,0,117,228,122,128,155,115,173,134,24,3,1085
POA3857,3,3,4,9,5,8,5,0,0,45,53,45,43,41,51,68,68,16,3,389
POA3858,69,43,50,52,44,44,56,22,8,397,527,337,322,322,369,455,476,233,82,3125
POA3859,14,9,3,13,13,17,9,14,0,101,186,103,109,101,116,141,111,67,17,945
POA3860,156,74,70,84,73,77,74,31,14,658,1391,778,810,858,813,1079,1054,508,166,7455
POA3862,53,54,33,27,43,45,49,23,3,323,672,375,437,391,398,495,522,203,54,3547
POA3864,9,4,5,3,7,0,11,0,0,32,34,18,25,28,31,46,39,14,0,241
POA3865,11,7,5,3,9,9,7,0,0,62,79,46,77,70,55,76,79,35,10,527
POA3869,19,13,16,10,12,21,22,7,4,117,310,180,213,188,218,299,220,89,22,1738
POA3870,32,19,15,16,12,34,17,11,3,153,203,119,127,133,167,279,193,81,21,1319
POA3871,66,17,24,30,34,36,44,24,7,283,542,260,246,314,421,479,456,231,85,3039
POA3873,5,0,0,9,0,7,7,0,0,31,71,19,26,54,31,55,42,14,0,324
POA3874,3,4,0,8,8,13,6,5,3,52,59,46,33,51,83,137,148,41,10,610
POA3875,331,182,201,169,220,242,218,167,130,1850,3435,2033,2172,2024,2359,2759,2816,1788,630,20015
POA3878,15,8,0,5,11,12,15,8,3,63,135,94,89,85,150,255,319,131,46,1306
POA3880,28,12,15,14,23,44,57,45,15,255,391,226,239,240,398,722,1100,698,218,4235
POA3882,18,12,11,7,9,11,17,6,9,98,236,130,135,120,156,212,209,103,24,1322
POA3885,29,7,20,28,25,16,22,11,5,176,314,153,202,196,257,340,261,113,36,1876
POA3886,6,8,4,0,9,4,9,3,0,45,74,49,28,38,60,59,77,29,7,415
POA3887,5,0,4,9,3,12,4,7,0,50,25,21,20,34,39,57,55,21,0,268
POA3888,64,27,43,33,58,85,80,49,9,443,505,251,311,298,397,664,605,349,119,3502
POA3889,0,0,0,5,0,7,14,3,0,28,16,10,3,7,20,38,46,23,5,171
POA3890,6,7,5,4,7,4,10,0,0,46,50,25,15,37,51,81,51,26,3,335
POA3891,9,0,0,9,3,5,5,4,0,24,19,0,4,14,12,30,23,12,0,121
POA3892,3,5,9,7,17,29,28,11,3,112,142,59,71,105,125,240,264,130,47,1183
POA3893,4,0,0,3,0,0,0,0,0,5,4,0,0,5,0,6,6,0,0,25
POA3895,4,0,0,0,4,0,8,0,0,20,23,13,19,13,36,39,31,18,4,198
POA3896,5,9,3,0,10,0,6,4,0,34,58,22,30,27,60,63,58,33,0,351
POA3898,11,12,8,13,19,29,23,11,3,127,70,63,65,76,117,133,115,51,19,705
POA3900,4,4,5,3,7,3,12,5,0,41,17,5,14,16,21,37,42,18,7,173
POA3902,14,6,5,11,3,5,10,6,0,65,48,41,30,34,53,62,89,54,3,423
POA3903,16,7,8,12,10,7,16,7,3,79,151,46,80,98,92,123,181,72,19,861
POA3904,21,15,9,14,20,21,28,20,9,148,230,98,98,155,201,392,489,205,31,1899
POA3909,195,115,102,110,130,152,161,101,47,1110,1252,737,674,787,973,1341,1709,948,291,8713
POA3910,326,206,159,225,246,157,138,77,31,1570,4697,2749,3076,3318,3205,2973,2136,1079,357,23588
POA3911,38,38,20,32,33,43,32,12,7,257,573,454,447,420,501,509,370,186,53,3514
POA3912,247,126,161,125,141,155,97,53,24,1131,2892,1816,2025,1901,2004,2151,1637,859,359,15633
POA3913,35,34,28,24,38,31,14,7,4,215,579,452,423,356,496,517,374,187,64,3449
POA3915,224,114,128,150,134,124,108,67,28,1081,1951,1096,1372,1241,1231,1281,1328,913,309,10723
POA3916,0,4,7,3,6,12,19,4,3,63,119,65,65,63,124,202,218,120,52,1036
POA3918,60,42,41,35,53,39,42,13,3,329,733,444,425,456,596,632,604,334,59,4276
POA3919,59,39,35,40,47,41,17,7,0,292,652,369,465,418,454,446,347,162,30,3343
POA3920,9,14,6,9,5,0,0,0,0,42,109,639,217,98,41,16,0,0,0,1124
POA3921,0,0,0,6,3,0,3,6,0,13,16,13,5,24,22,21,30,13,4,139
POA3922,124,53,55,91,104,157,156,87,46,874,1518,696,837,1025,1162,1728,1857,947,339,10118
POA3923,17,5,4,11,5,21,32,4,0,105,85,58,38,66,88,191,232,79,16,836
POA3925,90,57,64,68,75,97,75,40,24,583,754,386,418,555,595,774,681,288,95,4550
POA3926,48,29,25,28,37,39,41,21,11,275,604,298,209,388,462,527,525,319,100,3421
POA3927,21,16,9,21,19,25,36,19,3,178,287,172,102,183,217,327,355,175,36,1857
POA3928,5,6,0,0,9,17,9,4,4,54,46,44,22,33,72,90,97,39,10,453
POA3929,9,11,7,9,15,33,33,25,8,156,105,80,34,72,107,240,283,182,32,1130
POA3930,254,151,53,134,181,140,122,85,35,1150,3848,2201,913,2140,2989,2471,2194,1446,531,18734
POA3931,243,163,149,159,234,201,253,265,236,1890,3861,2480,2101,2702,3409,3148,3704,3001,1341,25759
POA3933,8,13,8,12,12,10,7,0,3,65,140,143,77,93,158,161,135,63,25,1004
POA3934,284,176,79,146,220,157,143,101,54,1352,3814,2269,1144,2246,3132,2514,2445,1657,618,19846
POA3936,174,100,94,113,172,161,173,118,42,1152,1798,1237,1134,1324,1809,1958,2215,1442,451,13366
POA3937,18,19,11,7,19,33,31,14,5,152,266,167,100,138,254,332,305,118,33,1717
POA3938,25,26,12,19,35,35,57,39,15,258,400,286,244,296,400,541,676,378,90,3311
POA3939,258,171,160,149,201,195,185,144,60,1526,2346,1454,1555,1631,1952,2269,2424,1626,636,15900
POA3940,72,36,33,43,55,35,64,92,65,490,657,362,469,436,504,545,797,817,665,5246
POA3941,243,121,146,164,185,201,205,98,50,1412,2144,1093,1256,1448,1897,2091,2120,1142,395,13591
POA3942,40,32,17,33,34,54,58,44,18,320,325,201,159,221,321,480,642,352,83,2786
POA3943,26,11,14,17,27,41,64,27,7,229,172,105,89,119,194,335,590,329,68,2013
POA3944,0,0,7,0,9,18,18,25,6,73,28,19,24,24,63,157,235,191,38,787
POA3945,13,3,3,6,21,29,15,0,0,88,197,55,109,110,158,208,172,72,8,1092
POA3946,3,7,4,0,8,10,3,0,3,36,40,19,37,26,37,71,45,13,9,303
POA3950,65,42,32,34,44,62,45,39,13,387,879,510,534,501,655,735,708,407,197,5133
POA3951,6,6,10,5,16,6,17,8,0,78,169,120,70,81,172,171,179,48,9,1020
POA3953,161,64,57,85,78,82,82,54,29,698,1517,815,720,910,978,1120,1185,707,249,8194
POA3954,0,0,5,0,6,0,5,0,0,16,48,46,17,29,60,85,50,24,7,366
POA3956,45,23,20,33,21,50,47,24,17,275,477,227,243,322,381,552,547,227,60,3037
POA3957,4,0,0,0,0,3,0,0,0,14,67,30,32,34,38,42,39,22,4,310
POA3958,7,7,7,4,8,5,0,3,0,41,51,34,16,30,42,43,39,19,4,284
POA3959,18,20,3,10,21,26,22,11,3,127,178,111,64,111,163,215,246,110,16,1223
POA3960,47,31,33,28,34,37,51,31,20,313,325,214,167,212,320,464,557,315,136,2715
POA3962,25,13,7,13,12,9,11,19,3,110,140,70,73,90,107,161,196,89,26,954
POA3964,4,0,0,0,0,5,0,0,0,9,29,13,15,17,15,47,23,8,3,174
POA3965,3,0,7,3,3,13,11,3,0,42,18,7,12,15,20,45,60,29,8,220
POA3966,15,0,10,3,13,5,8,4,0,60,90,48,42,57,81,74,104,37,9,544
POA3967,0,0,0,0,4,6,5,0,0,14,9,7,11,4,15,20,25,6,5,108
POA3971,63,45,37,51,45,63,67,35,15,424,581,347,349,367,518,725,764,393,143,4195
POA3975,277,133,147,186,133,75,45,13,12,1021,4587,2301,2540,3453,2419,1453,825,303,163,18048
POA3976,555,345,411,333,281,218,129,55,15,2339,5600,3739,4243,3655,3134,3051,1741,742,190,26082
POA3977,2182,1129,1349,1279,1004,736,422,264,97,8459,28735,14578,18254,19890,13913,10409,6854,3373,1144,117143
POA3978,753,313,527,446,222,120,76,28,10,2492,12275,4562,9392,8728,3895,2222,1431,600,100,43202
POA3979,12,3,5,7,9,9,10,0,0,53,70,29,30,50,52,55,58,16,0,365
POA3980,72,28,31,50,42,52,39,11,0,330,713,409,421,455,496,493,401,141,43,3571
POA3981,113,38,62,63,71,37,37,35,24,482,1162,649,792,653,679,615,465,279,126,5437
POA3984,139,61,74,101,85,86,86,52,19,704,1243,658,935,800,928,1126,1067,488,122,7374
POA3987,25,21,13,32,20,28,18,3,0,152,330,182,170,218,268,248,146,71,10,1644
POA3988,18,8,13,13,8,16,7,0,0,78,200,111,136,131,126,176,136,65,10,1094
POA3990,0,0,0,0,0,0,3,0,0,14,12,7,9,8,19,32,19,12,0,118
POA3991,9,7,4,7,8,7,10,3,0,52,62,43,34,45,58,67,75,23,0,405
POA3992,26,13,15,18,17,13,17,6,0,131,228,115,144,169,167,198,188,48,16,1281
POA3995,150,86,93,96,97,134,159,97,44,969,1686,1084,1131,1150,1359,1750,1927,1096,423,11596
POA3996,75,41,19,38,42,62,66,60,31,436,1037,493,457,663,696,1019,1302,737,247,6649
